Ear #,Number of Rows/ear,Number of kernels/row,Total number of kernels/ear
1,18,28,504
2,14,39,546
3,12,36,432
4,18,37,666
5,16,35,560
6,16,37,592
7,16,32,512
8,16,39,624
9,18,35,630
10,18,38,684
11,16,42,672
12,16,35,560
13,14,37,518
14,16,36,576
15,18,32,576
16,16,47,752
17,18,35,630
18,16,34,544
19,12,41,492
20,16,32,512
21,16,28,448
22,14,35,490
23,16,34,544
24,16,36,576
25,16,45,720
26,20,44,880
27,16,30,480
28,20,47,940
29,22,43,946
30,18,42,756
31,20,29,580
32,20,45,900
33,16,34,544
34,18,38,684
35,20,38,760
36,20,44,880
37,16,46,736
38,18,40,720
39,18,46,828
40,20,44,880
41,16,44,704
42,20,47,940
43,20,44,880
44,20,37,740
45,20,45,900
46,20,29,580
47,20,42,840
48,18,36,648
49,18,39,702
50,20,30,600
51,18,40,720
52,18,24,432
53,18,34,612
54,16,48,768
55,18,26,468
56,18,45,810
57,14,22,308
58,12,24,288
59,16,38,608
60,12,17,204
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,,,0
70,,,0
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,,,0
114,,,0
115,,,0
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,,,0
202,,,0
203,,,0
204,,,0
205,,,0
206,,,0
207,,,0
208,,,0
209,,,0
210,,,0
211,,,0